country,historical_athletes,paris2024_athletes
USA,11693,619.0
FRA,7720,601.0
GBR,7019,343.0
CAN,5565,332.0
ITA,5553,397.0
GER,5461,457.0
JPN,4987,431.0
AUS,4358,475.0
SWE,4222,125.0
NED,3418,290.0
SUI,3338,137.0
POL,3270,226.0
CHN,3243,398.0
HUN,3169,177.0
ESP,3057,401.0
URS,2852,0.0
KOR,2821,147.0
AUT,2719,84.0
FIN,2635,57.0
NOR,2488,109.0
